date,source,person,text,qa,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Buenos días, señorías.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Gracias, señora presidenta",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Antes de nada, creo que quiero expresar, no solamente en nombre del Gobierno de España, sino también, estoy convencido, en nombre de todas sus señorías, la solidaridad y el apoyo al pueblo francés, a las víctimas y a los familiares de las víctimas por lo que ocurrió ayer en Estrasburgo, en la ciudad francesa. Así que un abrazo muy fuerte al pueblo francés, en nombre de toda la sociedad española.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Comparezco ante ustedes a petición propia y a solicitud de distintos grupos parlamentarios para informar -voy a intentar sintetizarlo en dos ejes-  sobre el Consejo del artículo 50, el llamado artículo de salida del Reino Unido de la Unión Europea, el  Brexit, y sobre la situación política  en Cataluña.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Asuntos en los que, en mi opinión, hay un nexo de unión en  lo que es la respuesta, y es la exigencia de fortalecer nuestro proyecto común. Fortalecer nuestro proyecto europeo, puesto en cuestión por la salida del Reino Unido. Y, de nuevo, fortalecer el proyecto europeo y el proyecto de España, impugnado por el independentismo catalán.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Señorías, el independentismo catalán socava el proyecto europeo a fuerza de impugnar el proyecto colectivo de España. La fortaleza de la Unión se fundamenta en su integración, nunca en su segregación, en la voluntad de compartir soberanía en un mundo globalizado, para recuperar poder de decisión en beneficio de la mayoría social, sobre todo, de aquellos que necesitan de la política para poder transformar sus vidas.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"En estos últimos días hemos escuchado, por parte de algunos dirigentes del independentismo, una retórica inflamatoria inaceptable. Mensajes gruesos combinados con una dejación de funciones por parte del Govern de la Generalitat de Cataluña que no resultan admisibles para el Gobierno de España.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Y sobre estas cuestiones me gustaría hacer las siguientes tres afirmaciones: La primera, en relación con los Mossos d'Esquadra, el Gobierno no  aceptará  que se produzca cualquier dejación de funciones por parte de quien tiene encomendada la seguridad pública en Cataluña.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Ante los episodios que se han producido recientemente, el pasado fin de semana, en algunas autopistas catalanas, y la injustificable inacción de los cargos políticos para dar órdenes de actuación a la Policía Autonómica, nos henos dirigido, desde el Gobierno de España al Govern de Cataluña, y, sobre todo, a aquellos consellers que ostentan competencias relacionadas con la seguridad pública con un mensaje claro, y es que cumplan con sus obligaciones.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Y advirtiendo que, de persistir en su actitud, un número suficiente de efectivos de las Fuerzas y Cuerpos de Seguridad del Estado se desplazarán a Cataluña para garantizar la seguridad y el ejercicio de los derechos fundamentales de todos los catalanes y catalanas",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"En segundo lugar. Pese a las amenazas de algunos elementos radicales del independentismo, el Gobierno de España va a  celebrar el Consejo de Ministros en Barcelona el próximo día 21 de diciembre. Así me comprometí con el presidente de la Generalitat, así me comprometí con el pueblo catalán, y así haré cumplir la palabra del Gobierno.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Miren, Señorías, no es el primer Consejo de Ministros que hacemos  fuera de Madrid -y ya les adelanto que no va a ser el último-.  Mi voluntad es acercar el Gobierno de todos a todos y cada uno de los territorios de España. Reconocer, con su presencia, nuestra estima por la diversidad territorial del país.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"El Gobierno, Señorías,  tiene un proyecto de progreso y prosperidad compartida para España. Para todos y cada uno de sus pueblos. Para todos y cada uno de sus ciudadanos y ciudadanas, vivan donde vivan. Por ello, les quiero hacer el siguiente anuncio: El Consejo de Ministros que se celebrará el próximo día 21 de diciembre en Barcelona, aprobará la subida del Salario Mínimo a 900 euros al mes, a partir del año 2019. Una subida del 22%, la mayor desde 1977, y la explicación es clara: un país rico no puede tener trabajadores pobres.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Tercero. Señorías, en 1999, tuve el honor de trabajar para Naciones Unidas en Bosnia-Herzegovina, cuando tenía 28 años. Fui testigo de las consecuencias de la guerra civil en la antigua Yugoslavia. De cómo los refugiados kosovares huían de la limpieza étnica perpetrada por el dictador Milosevic, como antes los bosnios la sufrieron las mismas inclemencias por el odio de Karadizc y Mladic. No hace falta que me lo cuenten. No toco de oídas, señorías. Yo lo vi, y lo viví.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Recuerdo con orgullo el trabajo de las ONG españolas, entre las cuales había ONG catalanas; viví con orgullo cómo llegaba la solidaridad del pueblo español, cómo España recibió y acogió a muchos refugiados de la guerra civil en la antigua Yugoslavia; cómo se volcó la población española en apoyar a la población bosnia, con el compromiso de la cooperación española y de cientos de Ayuntamientos, como,  por ejemplo, el Ayuntamiento de  Barcelona, gobernado por un socialista, por Pasqual Maragall, quien, precisamente reconstruyó la Biblioteca de Sarajevo.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Y trabajé codo con codo con ellos, y con el Ejército español al que, por su dedicación y en recuerdo a los soldados que murieron allí, dedicaron la plaza de España en la ciudad de Mostar. Una plaza cuyos muros estaban acribillados por las balas del odio nacionalista.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Años más tarde, Señorías, he vuelto a Bosnia en más de una ocasión. Y, desgraciadamente, la convivencia continúa siendo una asignatura pendiente. Por contra, la segregación étnica se respira en muchos de sus lugares, en muchos de sus rincones.",FALSE,
2018-12-12,DSCD-12-PL-170.PDF,Pedro Sánchez,"Si se tiene ocasión, además, de hablar con los bosnios, con los croatas o con los  serbios, que también sufrieron las inclemencias y las consecuencias de la guerra civil, recuerdan con gratitud la solidaridad de España. Así que, no hace falta que lo cuenten. Yo lo vi y lo viví.",FALSE,
